Date,Open,High,Low,Close,Adj Close,Volume,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7rsi,14rsi,21rsi,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components,FT_100components
2010-02-10,28.030000686645508,28.239999771118164,27.84000015258789,27.989999771118164,21.152482986450195,48591300,-0.0007140470403512845,-0.0007143020933596483,28.146892932815653,28.54982642887547,28.817055076593743,0.5381293660799163,0.5485323999469517,-164.2858115994024,-80.69310389759991,-121.05260516138421,0.5614288875034877,0.8007144927978516,0.7376192183721633,28.753472968090087,27.437955080180004,29.867520261073174,27.256765028146276,31.48058854907421,26.977506456506145,29.670384949130373,13.846171903885315,7.988176699430166,6.97,507.84,142.0,28.43,37.43,15100.0,16.8,25.4,32.06,0.15,0.67,7.77,0.09,7441.84,323.4,1068.13,9963.99,1570.12,2147.87,154.35490991071606,167.2906389217763,174.54631383384773,180.67378240747428,172.9711932959259,171.01207598193895
2010-02-22,28.84000015258789,28.940000534057617,28.649999618530273,28.729999542236328,21.813243865966797,36707100,-0.001390368956930252,-0.0013913364167030986,28.574011833096293,28.565252313067962,28.681069836358454,-0.0149104068663252,0.39614970562915003,158.1081673209218,581.2507450587705,-218.7499720603377,0.4085712432861328,0.4850000653948103,0.6700000762939453,29.245449290649663,27.74312242129928,29.08947088523572,27.500528994873797,29.6714152712104,27.40763215891888,76.92307692307693,80.80001831054688,51.79486326760971,7.16,518.63,141.0,28.43,39.01,15460.0,17.35,19.94,32.0,0.15,0.68,7.76,0.09,7560.04,342.55,1108.01,10400.47,1627.1,2242.03,153.92762619409646,166.24416177752866,172.8537626816435,174.9781171143446,155.95891564710632,149.64217726909237
2010-02-23,28.68000030517578,28.829999923706055,28.09000015258789,28.329999923706055,21.50954246520996,52266200,-0.013922715798941419,-0.014020545908518506,28.513006270432605,28.533674364389494,28.647976803886273,-0.01759484535280878,0.36109160263936907,495.23978201634895,-1392.3177369895977,-444.4452181495059,0.41428565979003906,0.5121428625924247,0.6404762268066406,29.220451609202687,27.828119841167013,29.074899147127027,27.496529424301542,29.62792379147223,27.391123718584037,38.46153846153847,48.800048828125,31.282070342990053,7.04,523.53,143.5,28.43,38.54,15340.0,17.38,21.37,32.06,0.15,0.67,7.76,0.09,7597.44,332.87,1094.6,10352.1,1628.9,2213.44,153.49957715960653,165.19581019826543,171.15760901296227,169.2795826370133,139.17856599653172,128.76320900315105
2010-02-24,28.520000457763672,28.790000915527344,28.3799991607666,28.6299991607666,21.737308502197266,43165900,0.01058945421350011,0.010533778647565242,28.542255422664585,28.546592465828173,28.6462878359588,-0.027022756716170458,0.326617440132917,191.42863370944494,-inf,-397.10110874919485,0.40428597586495535,0.4935715539114816,0.6333334786551339,29.082521895201467,28.166049228194183,29.074899147127027,27.496529424301542,29.53393332870441,27.41939984477494,46.87492549412298,72.79998779296875,46.66664058327677,7.17,517.65,146.5,28.43,37.87,15040.0,17.74,20.27,32.02,0.15,0.67,7.76,0.09,7529.67,339.27,1105.24,10198.83,1612.83,2235.9,153.0707718003071,164.14565784458676,169.45811348969298,163.5853851342722,122.80463504548054,108.71602803480293
2010-02-25,28.270000457763672,28.649999618530273,28.020000457763672,28.600000381469727,21.71453857421875,48735300,-0.001047809297109031,-0.0010483586330369559,28.556692006502722,28.55374943465143,28.64195238715768,-0.033530799942885416,0.29427420169707075,367.99926757812494,255.26315129034603,-284.4445056680067,0.44428580147879465,0.4892857415335519,0.6271429516020275,29.05276750092724,28.26723219389698,29.10117298094991,27.578827051747496,29.384440134041576,27.48317879005394,42.187611758815535,70.40008544921875,45.128242246875374,7.21,497.06,143.0,28.43,37.18,14720.0,18.09,20.1,32.04,0.15,0.67,7.76,0.09,7426.96,338.39,1102.94,10101.96,1587.51,2234.22,152.64121912582604,163.0937785118514,167.7555373327645,157.9027110856973,107.00475123319632,89.81701629250571
2010-02-26,28.649999618530273,28.850000381469727,28.510000228881836,28.670000076293945,21.767688751220703,40370600,0.0024475417444250235,0.002444551392476526,28.585019530400583,28.569317222977446,28.644572217895178,-0.042901790738641886,0.2628413012241176,937.4985098824593,281.5386150293292,-245.9999084472655,0.45142882210867746,0.46285711015973774,0.6052382332938058,29.05931619910754,28.28354061677555,29.142800610351106,27.630056510707764,29.160592518837742,27.61178831001968,53.12507450587702,76.00006103515625,65.97225073677936,7.31,495.1,141.5,28.43,36.68,14880.0,18.15,19.5,31.98,0.15,0.67,7.76,0.09,7436.1,338.86,1104.49,10126.03,1594.58,2238.26,152.2109281620766,162.04024612203486,166.05014225662484,152.23871156620945,91.93645579185869,72.34873584491527
2010-03-01,28.770000457763672,29.049999237060547,28.530000686645508,29.020000457763672,22.03342628479004,43805400,0.012207896077374887,0.012133980673731401,28.693766220401823,28.62963566403204,28.679552226743724,-0.07947542978530288,0.22576083720121523,1439.9656685103964,167.69218354546456,-2007.151226158041,0.4514285496303013,0.4635712759835379,0.5833333333333334,29.093047915202867,28.264094941939987,29.20165189983062,27.756919670429564,29.127921251946212,27.631126301706594,100.0,100.0,100.0,7.46,507.84,143.0,28.43,35.56,14880.0,18.3,19.26,31.98,0.15,0.68,7.76,0.09,7577.75,349.48,1115.71,10172.06,1594.58,2273.57,151.77990795097625,160.98513471557268,164.3421904035998,146.60048661502623,77.74419321279998,56.55179424499261
2010-03-02,29.079999923706055,29.299999237060547,28.239999771118164,28.459999084472656,21.60824203491211,93123900,-0.01929708354436636,-0.019485702737327165,28.635323848688845,28.60694332872865,28.659141885142382,-0.06862001184128959,0.19874688915666888,-232.25681412662277,420.0009324839254,1003.5756130790177,0.5699999673025948,0.49714265550885883,0.526190439860026,29.068928702117873,28.199642334084693,29.182035735074848,27.84082138598402,29.136285227774774,27.649428876287264,18.84044349967796,48.62373441311416,56.923009206617024,7.46,505.88,143.0,28.43,37.93,15400.0,18.72,19.06,31.97,0.15,0.68,7.76,0.09,7597.62,349.39,1118.31,10221.84,1615.12,2280.79,151.34816755016442,159.92851844318892,162.63194427815003,140.99506973991026,64.55658745738768,42.61820389063602
2010-03-03,28.510000228881836,28.610000610351562,28.350000381469727,28.459999084472656,21.60824203491211,48442100,0.0,0.0,28.591492327038225,28.587295139321853,28.640666900111622,-0.04377610617198004,0.17874729535633285,-266.6659602424448,402.1281172006575,5160.078583962763,0.5657141549246651,0.487142699105399,0.5119047619047619,29.03856261498107,28.15286543328902,29.146676808749778,27.94332307135974,29.139216784386036,27.651259151777005,18.84044349967796,48.62373441311416,56.923009206617024,7.48,514.71,141.0,28.43,38.69,15420.0,18.91,18.83,31.93,0.15,0.68,7.76,0.09,7629.52,346.37,1118.79,10253.14,1622.44,2280.68,150.91571603271987,158.87047155771188,160.91966668104664,135.42941259724077,52.484067278529025,30.686460879600922
2010-03-04,28.459999084472656,28.649999618530273,28.270000457763672,28.6299991607666,21.737308502197266,42890600,0.005973298726727464,0.005955529304156023,28.60111908992727,28.593003013176112,28.639679067534964,-0.03298874989535528,0.16000968005442218,296.6672176798953,378.43230386033684,1588.2350301248787,0.5142854963030133,0.4642855780465262,0.5128570738292876,29.014413863427176,28.2627282525745,29.13183274903053,28.03102403415516,29.153941632255567,27.652724787364036,30.35708203622591,64.2200695044744,69.99992664050177,7.53,503.92,142.0,28.43,39.25,15220.0,19.06,18.72,31.92,0.15,0.68,7.76,0.09,7569.8,346.55,1122.97,10145.72,1618.2,2292.31,150.48256248687764,157.8110684058773,159.2056206434846,129.9103698879309,41.61689543014674,20.838502145446128
2010-03-05,28.65999984741211,28.68000030517578,28.420000076293945,28.59000015258789,21.706945419311523,56001800,-0.0013971012696893114,-0.0013980781256186135,28.598339343799015,28.592601778588854,28.635086565880044,-0.024821356186106598,0.14353966421576636,-1475.0369557960971,292.42406727740376,-6325.158552286442,0.49285670689174105,0.4485713413783482,0.4933332715715681,29.010519741484128,28.255194086466485,29.032083419033654,28.225059056639473,29.149820895782536,27.65303609448672,23.214419520302997,37.681163426480055,66.92308256611524,7.82,499.02,142.5,28.43,38.76,15500.0,19.36,17.42,31.84,0.15,0.68,7.76,0.09,7666.26,351.53,1138.7,10368.96,1634.57,2326.35,150.04871601574536,156.75038342012115,157.49006936115384,124.44468450860363,32.023646557296985,13.098627257439118
2010-03-08,28.520000457763672,28.93000030517578,28.5,28.6299991607666,21.737308502197266,39414500,0.0013990558924530238,0.0013980781256186568,28.60625432322611,28.597597302258205,28.634616988044417,-0.021989844916340366,0.12815437805001317,2100.082655137331,553.5728882833789,325.3168254918671,0.46428544180733816,0.4542856216430664,0.48095230829148067,29.01374469407216,28.260540213677565,29.019006290608058,28.27813601067891,29.147253640529062,27.730841350519118,30.35708203622591,43.478116646717844,69.99992664050177,7.82,517.65,144.0,28.43,38.79,15720.0,19.31,17.79,31.86,0.15,0.69,7.76,0.09,7762.27,351.21,1138.5,10585.92,1660.04,2332.21,149.61418573701934,155.68849111036167,155.77327612828796,119.03897299671105,23.750167441491495,7.4343960913646105
2010-03-09,28.559999465942383,29.110000610351562,28.549999237060547,28.799999237060547,21.86638641357422,50271600,0.005937830292601146,0.005920270854000598,28.654690667276835,28.624627397865666,28.649860872031415,-0.035122231585445605,0.11039479031699698,561.5417345247006,704.7638510445054,328.20557337924015,0.4957141876220703,0.47357150486537386,0.4738094693138486,29.05217504685153,28.259252478260073,29.04073542731083,28.286406743186518,29.173828326914002,27.778552262162446,60.71416407245182,68.11578979375771,83.07684407438654,7.97,521.57,141.0,28.43,38.68,15720.0,19.35,17.92,31.78,0.15,0.68,7.76,0.09,7770.59,350.47,1140.45,10567.65,1660.83,2340.68,149.17898078270002,154.6254660557735,154.05550427170962,113.69971130744457,16.819041317301327,3.7594386665679815
2010-03-10,28.860000610351562,29.110000610351562,28.799999237060547,28.969999313354492,21.995458602905273,44891400,0.005902780583243386,0.00588542742836159,28.733517969885778,28.670740816415897,28.679331930054886,-0.06394032359790155,0.08842026266841195,-1099.973297730307,-inf,218.3999633789063,0.46571459089006695,0.45857157026018414,0.4642857142857143,29.01507292641005,28.28206855744179,29.04073542731083,28.286406743186518,29.173069876958404,27.898358331165664,100.0,92.7534629407976,95.41273968719487,8.03,527.45,142.0,28.43,38.88,15680.0,19.74,18.57,31.8,0.15,0.69,7.76,0.09,7779.08,358.04,1145.61,10563.92,1662.24,2358.95,148.74311029880687,153.56138289655323,152.3370170848929,108.43322095934165,11.229565492837171,1.9380418028114283
